year,month,average_temperature,average_salinity
2009.0,1.0,15.28959777737945,35.06280946008968
2009.0,2.0,15.047781377343114,35.04791922166684
2009.0,3.0,15.239818742768968,35.06672980997395
2009.0,4.0,15.39851703703704,35.084504031007775
2009.0,5.0,15.175150334201884,35.06049106575969
2009.0,6.0,15.181550978497192,35.06608918994074
2009.0,7.0,14.893085607518964,35.071449229895535
2009.0,8.0,14.81676744680852,35.052451517751784
2009.0,9.0,14.687880157600969,35.07216111636606
2009.0,10.0,14.623661025968493,35.081114521356525
2009.0,11.0,14.884489530526755,35.06448106927377
2009.0,12.0,14.77193134424124,35.062843762237726
